,,,,,,,,,,,,,,,,
ITAOBIM (Prefeitura),1490896169,1668441,,,,,,01/2017,44 BPM/15 RPM,N,N,Tem aditivo,PREFEITURA MUNICIPAL DE ITAOBIM (Prefeitura),361,18.414.573/0001-27,6891
ITAOBIM (Prefeitura),1519145688,1193648,,,,,,01/2017-ADT,44 BPM/15 RPM,1490896169,N,Finalizado,PREFEITURA MUNICIPAL DE ITAOBIM (Prefeitura),361,18.414.573/0001-27,6891
ITAOBIM (Prefeitura),1499976268,1102169,,,,,,09/2017,BPM MAMB/CPE,N,N,Finalizado,PREFEITURA MUNICIPAL DE ITAOBIM (Prefeitura),361,18.414.573/0001-27,1666
ITAOBIM (Prefeitura),1582291653,1193648,,,,,,01/2017-ADT,44 BPM/15 RPM,1490896169,N,Finalizado,PREFEITURA MUNICIPAL DE ITAOBIM (Prefeitura),361,18.414.573/0001-27,6891
ITAOBIM (Prefeitura),1611940383,1193648,,,,,,07/2021,44 BPM/15 RPM,N,N,Tem aditivo,PREFEITURA MUNICIPAL DE ITAOBIM (Prefeitura),361,18.414.573/0001-27,6891
ITAOBIM (Prefeitura),1643899731,1305002,,,,,,113/2021,BPM MAMB/CPE,N,S,Finalizado,PREFEITURA MUNICIPAL DE ITAOBIM (Prefeitura),361,18.414.573/0001-27,1666
ITAOBIM (Prefeitura),1651055291,1193648,,,,,,07/2021-ADT,70 BPM/15 RPM,1611940383,N,Finalizado,PREFEITURA MUNICIPAL DE ITAOBIM (Prefeitura),361,18.414.573/0001-27,6894
ITAOBIM (Prefeitura),1736259840,1611920,,,,,,05.70/2025,70 BPM/15 RPM,N,S,Aberto,PREFEITURA MUNICIPAL DE ITAOBIM (Prefeitura),361,18.414.573/0001-27,6894
ITAOBIM (Prefeitura),1775570406,1611920,,,,,,05/2025,70 BPM/15 RPM,N,S,Aberto,PREFEITURA MUNICIPAL DE ITAOBIM (Prefeitura),361,18.414.573/0001-27,6894
NANUQUE (Prefeitura),1500645930,1227495,,,,,,24/2017,24 CIA PM IND815 RPM,N,N,Finalizado,PREFEITURA MUNICIPAL NANUQUE (Prefeitura),3304,18.398.974/0001-30,2227
NANUQUE (Prefeitura),1606821179,1227495,,,,,,02.24/2020,24 CIA PM IND815 RPM,N,N,Finalizado,PREFEITURA MUNICIPAL NANUQUE (Prefeitura),3304,18.398.974/0001-30,2227
NANUQUE (Prefeitura),1623152029,1251032,,,,,,009/2021,BPMRV/CPE,N,N,Finalizado,PREFEITURA MUNICIPAL NANUQUE (Prefeitura),3304,18.398.974/0001-30,1655
NANUQUE (Prefeitura),1612534971,1227495,,,,,,004.24/2021,24 CIA PM IND815 RPM,N,N,Tem aditivo,PREFEITURA MUNICIPAL NANUQUE (Prefeitura),3304,18.398.974/0001-30,2227
NANUQUE (Prefeitura),1614259998,1596352,,,,,,006.24/2021,24 CIA PM IND815 RPM,N,N,Tem aditivo,PREFEITURA MUNICIPAL NANUQUE (Prefeitura),3304,18.398.974/0001-30,2227
NANUQUE (Prefeitura),1639416879,1453364,,,,,,004.24/2021 ADT,24 CIA PM IND815 RPM,1612534971,N,Finalizado,PREFEITURA MUNICIPAL NANUQUE (Prefeitura),3304,18.398.974/0001-30,2227
NANUQUE (Prefeitura),1662139914,1596352,,,,,,006.24/2021-ADT,24 CIA PM IND815 RPM,1614259998,N,Finalizado,PREFEITURA MUNICIPAL NANUQUE (Prefeitura),3304,18.398.974/0001-30,2227
NANUQUE (Prefeitura),1736514291,1457571,,,,,,04.24/2025,24 CIA PM IND815 RPM,N,N,Tem aditivo,PREFEITURA MUNICIPAL NANUQUE (Prefeitura),3304,18.398.974/0001-30,2227
NANUQUE (Prefeitura),1775566743,1457571,,,,,,04.24/2025-ADT,24 CIA PM IND815 RPM,1736514291,S,Aberto,PREFEITURA MUNICIPAL NANUQUE (Prefeitura),3304,18.398.974/0001-30,2227
COMERCINHO (Prefeitura),1467912377,1141563,,,,,,01/2015,15 RPM,N,N,Finalizado,PREFEITURA MUNICIPAL DE COMERCINHO (Prefeitura),321,18.414.615/0001-20,6869
COMERCINHO (Prefeitura),1515518531,1141563,,,,,,01/2017,44 BPM/15 RPM,N,N,Finalizado,PREFEITURA MUNICIPAL DE COMERCINHO (Prefeitura),321,18.414.615/0001-20,6891
COMERCINHO (Prefeitura),1593791997,1102169,,,,,,034/2020,BPM MAMB/CPE,N,N,Finalizado,PREFEITURA MUNICIPAL DE COMERCINHO (Prefeitura),321,18.414.615/0001-20,1666
COMERCINHO (Prefeitura),1615986113,1716885,,,,,,08/2021,44 BPM/15 RPM,N,N,Tem aditivo,PREFEITURA MUNICIPAL DE COMERCINHO (Prefeitura),321,18.414.615/0001-20,6891
COMERCINHO (Prefeitura),1651672872,1141563,,,,,,08/2021-ADT,70 BPM/15 RPM,1615986113,N,Finalizado,PREFEITURA MUNICIPAL DE COMERCINHO (Prefeitura),321,18.414.615/0001-20,6894
COMERCINHO (Prefeitura),1743000608,1500941,,,,,,07.70/2025,70 BPM/15 RPM,N,N,Tem aditivo,PREFEITURA MUNICIPAL DE COMERCINHO (Prefeitura),321,18.414.615/0001-20,6894
COMERCINHO (Prefeitura),1775053548,1500941,,,,,,07.70/2025-ADT,70 BPM/15 RPM,1743000608,S,Aberto,PREFEITURA MUNICIPAL DE COMERCINHO (Prefeitura),321,18.414.615/0001-20,6894
FRANCISCOPOLIS (Prefeitura),1497528557,1274646,,,,,,08/2017,19 BPM/15 RPM,N,N,Tem aditivo,PREFEITURA MUNICIPAL FRANCISCOPOLIS (Prefeitura),2854,01.613.394/0001-16,2203
FRANCISCOPOLIS (Prefeitura),1592232459,1274646,,,,,,08/2017- ADT 1-ADT,19 BPM/15 RPM,1497528557,N,Finalizado,PREFEITURA MUNICIPAL FRANCISCOPOLIS (Prefeitura),2854,01.613.394/0001-16,2203
FRANCISCOPOLIS (Prefeitura),1610668947,1274646,,,,,,01.19/2021,19 BPM/15 RPM,N,N,Tem aditivo,PREFEITURA MUNICIPAL FRANCISCOPOLIS (Prefeitura),2854,01.613.394/0001-16,2203
FRANCISCOPOLIS (Prefeitura),1637416242,1274646,,,,,,01.19/2021-ADT,19 BPM/15 RPM,1610668947,N,Finalizado,PREFEITURA MUNICIPAL FRANCISCOPOLIS (Prefeitura),2854,01.613.394/0001-16,2203
FRANCISCOPOLIS (Prefeitura),1691503696,1274646,,,,,,01.19/2021-ADT-ADT,19 BPM/15 RPM,1610668947,N,Finalizado,PREFEITURA MUNICIPAL FRANCISCOPOLIS (Prefeitura),2854,01.613.394/0001-16,2203
FRANCISCOPOLIS (Prefeitura),1691503269,1274646,,,,,,01.19/2021-ADT-ADT,19 BPM/15 RPM,1610668947,N,Cancelado,PREFEITURA MUNICIPAL FRANCISCOPOLIS (Prefeitura),2854,01.613.394/0001-16,2203
